Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Evaluate the limitations of Optics assuming failure modes.,Physics,Optics,Evaluate,40.5,Hard
Describe Relativity in a standard system.,Physics,Relativity,Apply,85.5,Easy
Critically analyze Probability under extreme constraints.,Mathematics,Probability,Evaluate,37.5,Hard
List Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,84.4,Easy
Differentiate between Geometry using an example.,Mathematics,Geometry,Apply,61.5,Medium
Compare Algorithms in practice.,Computer Science,Algorithms,Apply,73.6,Medium
Derive the formula for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,16.9,Hard
Illustrate Relativity in a standard system.,Physics,Relativity,Apply,58.7,Medium
Explain how Statistics in practice.,Mathematics,Statistics,Apply,54.3,Medium
Calculate Geometry diagrammatically.,Mathematics,Geometry,Apply,50.8,Medium
Propose a solution for Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,49.8,Medium
Derive the formula for Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,30.2,Hard
Derive the formula for Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,39.4,Hard
Identify Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,91.3,Easy
Differentiate between Statistics using an example.,Mathematics,Statistics,Apply,50.2,Medium
Derive the formula for Relativity considering edge cases.,Physics,Relativity,Evaluate,39.2,Hard
Differentiate between Networking in a standard system.,Computer Science,Networking,Apply,52.4,Medium
Derive the formula for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,29.0,Hard
Calculate Networking in practice.,Computer Science,Networking,Apply,58.3,Medium
Critically analyze Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,41.8,Hard
Evaluate the limitations of Networking under extreme constraints.,Computer Science,Networking,Evaluate,31.1,Hard
Define Relativity as defined in the textbook?,Physics,Relativity,Remember,85.9,Easy
Differentiate between Thermodynamics in practice.,Physics,Thermodynamics,Apply,51.5,Medium
Derive the formula for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,32.3,Hard
Name Networking briefly?,Computer Science,Networking,Remember,74.1,Medium
Hypothesize Calculus considering edge cases.,Mathematics,Calculus,Evaluate,17.3,Hard
Define Statistics in simple terms?,Mathematics,Statistics,Remember,94.8,Easy
List Relativity as defined in the textbook?,Physics,Relativity,Remember,84.6,Easy
Identify Networking as defined in the textbook?,Computer Science,Networking,Remember,86.0,Easy
Critically analyze Relativity with mathematical proofs.,Physics,Relativity,Evaluate,40.8,Hard
Derive the formula for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,43.2,Hard
Hypothesize Probability in distributed latency environments.,Mathematics,Probability,Evaluate,28.5,Hard
State Statistics according to basic principles?,Mathematics,Statistics,Remember,89.4,Easy
Explain how Calculus for a specific case.,Mathematics,Calculus,Apply,70.7,Medium
Hypothesize Database in distributed latency environments.,Computer Science,Database,Evaluate,44.9,Hard
State Quantum Physics briefly?,Physics,Quantum Physics,Remember,98.0,Easy
Calculate Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,62.1,Medium
Describe Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,51.3,Medium
Explain how Algorithms in a standard system.,Computer Science,Algorithms,Apply,78.6,Easy
Critically analyze Mechanics considering edge cases.,Physics,Mechanics,Evaluate,34.3,Hard
Describe AI in a standard system.,Computer Science,AI,Apply,60.1,Medium
Critically analyze Relativity considering edge cases.,Physics,Relativity,Evaluate,30.2,Hard
Synthesize Relativity considering edge cases.,Physics,Relativity,Evaluate,28.6,Hard
Which of these is Mechanics according to basic principles?,Physics,Mechanics,Remember,97.3,Easy
Which of these is Statistics in simple terms?,Mathematics,Statistics,Remember,85.6,Easy
Which of these is Relativity briefly?,Physics,Relativity,Remember,90.1,Easy
Explain how Probability for a specific case.,Mathematics,Probability,Apply,66.4,Medium
Derive the formula for Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,37.1,Hard
Illustrate Calculus for a specific case.,Mathematics,Calculus,Apply,64.4,Medium
Outline Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,63.4,Medium
Evaluate the limitations of Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,29.5,Hard
Synthesize Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,40.6,Hard
Compare AI in a standard system.,Computer Science,AI,Apply,63.4,Medium
Name Algorithms according to basic principles?,Computer Science,Algorithms,Remember,91.4,Easy
Critically analyze Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,37.5,Hard
Critically analyze Optics with mathematical proofs.,Physics,Optics,Evaluate,38.8,Hard
Hypothesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,52.8,Medium
Evaluate the limitations of Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,20.7,Hard
Critically analyze Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,38.9,Hard
Describe Statistics in a standard system.,Mathematics,Statistics,Apply,47.4,Medium
Outline Probability in a standard system.,Mathematics,Probability,Apply,61.1,Medium
Define Linear Algebra,Mathematics,Linear Algebra,Remember,92.6,Easy
What is Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,100.0,Easy
State Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,90.9,Easy
Explain how Probability for a specific case.,Mathematics,Probability,Apply,70.2,Medium
Identify Networking as defined in the textbook?,Computer Science,Networking,Remember,81.7,Easy
Calculate Geometry using an example.,Mathematics,Geometry,Apply,55.1,Medium
Hypothesize Database under extreme constraints.,Computer Science,Database,Evaluate,39.9,Hard
Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,41.7,Hard
Explain how Geometry in practice.,Mathematics,Geometry,Apply,52.9,Medium
Define AI as defined in the textbook?,Computer Science,AI,Remember,83.3,Easy
Critically analyze Database with mathematical proofs.,Computer Science,Database,Evaluate,39.9,Hard
Synthesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,32.5,Hard
List Networking,Computer Science,Networking,Remember,100.0,Easy
Critically analyze Networking considering edge cases.,Computer Science,Networking,Evaluate,46.1,Medium
List Relativity according to basic principles?,Physics,Relativity,Remember,94.3,Easy
Critically analyze Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,29.1,Hard
Illustrate Relativity using an example.,Physics,Relativity,Apply,58.1,Medium
Describe Geometry in practice.,Mathematics,Geometry,Apply,46.1,Medium
Calculate Data Structures using an example.,Computer Science,Data Structures,Apply,56.2,Medium
Outline Geometry using an example.,Mathematics,Geometry,Apply,66.3,Medium
Explain how AI in a standard system.,Computer Science,AI,Apply,64.3,Medium
Which of these is Database,Computer Science,Database,Remember,91.9,Easy
Differentiate between Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,52.0,Medium
Hypothesize Database considering edge cases.,Computer Science,Database,Evaluate,41.0,Hard
Illustrate Data Structures for a specific case.,Computer Science,Data Structures,Apply,57.3,Medium
Outline Algorithms in a standard system.,Computer Science,Algorithms,Apply,63.2,Medium
Explain how Database in a standard system.,Computer Science,Database,Apply,65.5,Medium
What is Networking,Computer Science,Networking,Remember,99.2,Easy
Name Geometry according to basic principles?,Mathematics,Geometry,Remember,84.1,Easy
Derive the formula for Optics in distributed latency environments.,Physics,Optics,Evaluate,23.0,Hard
Outline Probability for a specific case.,Mathematics,Probability,Apply,53.3,Medium
Explain how Optics in practice.,Physics,Optics,Apply,74.2,Medium
Hypothesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,41.8,Hard
Differentiate between Optics for a specific case.,Physics,Optics,Apply,70.5,Medium
Describe Algorithms in practice.,Computer Science,Algorithms,Apply,63.8,Medium
Name Calculus as defined in the textbook?,Mathematics,Calculus,Remember,99.2,Easy
Identify Geometry,Mathematics,Geometry,Remember,85.0,Easy
Synthesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,31.7,Hard
Explain how Statistics in practice.,Mathematics,Statistics,Apply,58.7,Medium
Derive the formula for Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,49.0,Medium
Synthesize Probability considering edge cases.,Mathematics,Probability,Evaluate,33.7,Hard
Calculate Networking in a standard system.,Computer Science,Networking,Apply,67.6,Medium
Hypothesize Networking in distributed latency environments.,Computer Science,Networking,Evaluate,48.4,Medium
Evaluate the limitations of Statistics considering edge cases.,Mathematics,Statistics,Evaluate,31.2,Hard
Identify Relativity as defined in the textbook?,Physics,Relativity,Remember,99.3,Easy
Define Relativity,Physics,Relativity,Remember,84.9,Easy
Evaluate the limitations of Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,46.3,Medium
Compare Calculus diagrammatically.,Mathematics,Calculus,Apply,67.5,Medium
Hypothesize Optics under extreme constraints.,Physics,Optics,Evaluate,37.6,Hard
Explain how Statistics diagrammatically.,Mathematics,Statistics,Apply,58.0,Medium
Evaluate the limitations of Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,33.2,Hard
,Computer Science,Database,Apply,63.3,Medium
Explain how Probability diagrammatically.,Mathematics,Probability,Apply,82.9,Easy
Which of these is Networking in simple terms?,Computer Science,Networking,Remember,100.0,Easy
Critically analyze Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,27.5,Hard
Which of these is Relativity as defined in the textbook?,Physics,Relativity,Remember,91.8,Easy
Critically analyze Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,46.3,Medium
Which of these is Database,Computer Science,Database,Remember,96.3,Easy
List Data Structures,Computer Science,Data Structures,Remember,87.4,Easy
Critically analyze Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,28.8,Hard
Define Networking as defined in the textbook?,Computer Science,Networking,Remember,100.0,Easy
Differentiate between Optics for a specific case.,Physics,Optics,Apply,58.7,Medium
Propose a solution for Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,29.7,Hard
Identify Optics in simple terms?,Physics,Optics,Remember,80.2,Easy
Calculate Database in practice.,Computer Science,Database,Apply,56.3,Medium
Outline Calculus in practice.,Mathematics,Calculus,Apply,61.1,Medium
Explain how Relativity for a specific case.,Physics,Relativity,Apply,57.3,Medium
What is Networking in simple terms?,Computer Science,Networking,Remember,78.8,Easy
Derive the formula for Networking considering edge cases.,Computer Science,Networking,Evaluate,22.4,Hard
Hypothesize Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,18.4,Hard
List Probability,Mathematics,Probability,Remember,91.5,Easy
Describe Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,37.5,Hard
What is Geometry in simple terms?,Mathematics,Geometry,Remember,80.9,Easy
State Database in simple terms?,Computer Science,Database,Remember,96.3,Easy
State Networking,Computer Science,Networking,Remember,89.0,Easy
Synthesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,33.8,Hard
Calculate Geometry diagrammatically.,Mathematics,Geometry,Apply,61.9,Medium
Illustrate Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,36.9,Hard
Synthesize Database with mathematical proofs.,Computer Science,Database,Evaluate,50.8,Medium
Calculate Data Structures in practice.,Computer Science,Data Structures,Apply,62.4,Medium
Describe Optics diagrammatically.,Physics,Optics,Apply,68.0,Medium
Critically analyze Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,35.2,Hard
Evaluate the limitations of Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,16.2,Hard
Which of these is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,81.9,Easy
Derive the formula for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,37.4,Hard
Outline Networking for a specific case.,Computer Science,Networking,Apply,46.7,Medium
State Mechanics according to basic principles?,Physics,Mechanics,Remember,98.7,Easy
Describe Probability for a specific case.,Mathematics,Probability,Apply,59.8,Medium
Compare Calculus for a specific case.,Mathematics,Calculus,Apply,67.6,Medium
What is Probability in simple terms?,Mathematics,Probability,Remember,90.6,Easy
Derive the formula for Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,37.1,Hard
Evaluate the limitations of Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,39.6,Hard
Describe Optics using an example.,Physics,Optics,Apply,60.1,Medium
Name Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,100.0,Easy
Calculate Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,66.9,Medium
Describe Algorithms in a standard system.,Computer Science,Algorithms,Apply,73.4,Medium
Name Database in simple terms?,Computer Science,Database,Remember,98.9,Easy
Derive the formula for AI assuming failure modes.,Computer Science,AI,Evaluate,41.8,Hard
Calculate Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,48.5,Medium
Hypothesize Optics considering edge cases.,Physics,Optics,Evaluate,54.4,Medium
Explain how Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,70.0,Medium
Synthesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,37.0,Hard
Calculate Statistics in a standard system.,Mathematics,Statistics,Apply,51.5,Medium
Derive the formula for Probability considering edge cases.,Mathematics,Probability,Evaluate,27.1,Hard
What is Algorithms,Computer Science,Algorithms,Remember,98.2,Easy
Which of these is Database as defined in the textbook?,Computer Science,Database,Remember,100.0,Easy
Derive the formula for AI with mathematical proofs.,Computer Science,AI,Evaluate,28.0,Hard
Evaluate the limitations of Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,38.1,Hard
Explain how Networking using an example.,Computer Science,Networking,Apply,59.3,Medium
Hypothesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,53.8,Medium
Outline AI diagrammatically.,Computer Science,AI,Apply,57.0,Medium
Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,71.2,Medium
Describe Statistics diagrammatically.,Mathematics,Statistics,Apply,60.5,Medium
Which of these is Thermodynamics,Physics,Thermodynamics,Remember,85.6,Easy
Identify Thermodynamics,Physics,Thermodynamics,Remember,94.1,Easy
Propose a solution for Database considering edge cases.,Computer Science,Database,Evaluate,33.4,Hard
Critically analyze Relativity considering edge cases.,Physics,Relativity,Evaluate,35.7,Hard
Outline Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,58.1,Medium
Which of these is Statistics briefly?,Mathematics,Statistics,Remember,69.1,Medium
List Data Structures according to basic principles?,Computer Science,Data Structures,Remember,99.4,Easy
Hypothesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,22.4,Hard
Identify Thermodynamics briefly?,Physics,Thermodynamics,Remember,92.2,Easy
What is Calculus as defined in the textbook?,Mathematics,Calculus,Remember,100.0,Easy
List Geometry according to basic principles?,Mathematics,Geometry,Remember,100.0,Easy
State Linear Algebra,Mathematics,Linear Algebra,Remember,91.0,Easy
Explain how Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,68.7,Medium
Differentiate between Mechanics diagrammatically.,Physics,Mechanics,Apply,47.6,Medium
Synthesize Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,36.2,Hard
List Mechanics in simple terms?,Physics,Mechanics,Remember,69.2,Medium
Evaluate the limitations of Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,52.6,Medium
Describe Thermodynamics using an example.,Physics,Thermodynamics,Apply,49.3,Medium
Name Optics as defined in the textbook?,Physics,Optics,Remember,92.4,Easy
Define Geometry briefly?,Mathematics,Geometry,Remember,87.3,Easy
What is Networking,Computer Science,Networking,Remember,87.3,Easy
Differentiate between Calculus in a standard system.,Mathematics,Calculus,Apply,57.1,Medium
Differentiate between Relativity in practice.,Physics,Relativity,Apply,73.0,Medium
Synthesize Optics considering edge cases.,Physics,Optics,Evaluate,30.0,Hard
Define Calculus according to basic principles?,Mathematics,Calculus,Remember,95.2,Easy
Identify AI in simple terms?,Computer Science,AI,Remember,90.0,Easy
Calculate Data Structures for a specific case.,Computer Science,Data Structures,Apply,51.2,Medium
Critically analyze Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,48.3,Medium
Explain how Database in a standard system.,Computer Science,Database,Apply,61.1,Medium
Propose a solution for Probability considering edge cases.,Mathematics,Probability,Evaluate,36.7,Hard
List Database briefly?,Computer Science,Database,Remember,86.9,Easy
Differentiate between Statistics in a standard system.,Mathematics,Statistics,Apply,59.1,Medium
Explain how Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,51.1,Medium
Differentiate between Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,45.2,Medium
State Geometry according to basic principles?,Mathematics,Geometry,Remember,77.3,Easy
Outline Relativity diagrammatically.,Physics,Relativity,Apply,63.8,Medium
List Probability as defined in the textbook?,Mathematics,Probability,Remember,95.1,Easy
What is Quantum Physics briefly?,Physics,Quantum Physics,Remember,91.1,Easy
Calculate Algorithms for a specific case.,Computer Science,Algorithms,Apply,49.4,Medium
Critically analyze Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,31.4,Hard
Outline AI diagrammatically.,Computer Science,AI,Apply,64.3,Medium
Define Geometry as defined in the textbook?,Mathematics,Geometry,Remember,84.7,Easy
Differentiate between Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,85.4,Easy
Critically analyze Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,28.0,Hard
Explain how Relativity using an example.,Physics,Relativity,Apply,59.7,Medium
Derive the formula for Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,44.8,Hard
Critically analyze Relativity with mathematical proofs.,Physics,Relativity,Evaluate,18.4,Hard
List Mechanics in simple terms?,Physics,Mechanics,Remember,96.4,Easy
What is Probability according to basic principles?,Mathematics,Probability,Remember,96.2,Easy
Compare Statistics diagrammatically.,Mathematics,Statistics,Apply,58.7,Medium
What is Networking as defined in the textbook?,Computer Science,Networking,Remember,86.4,Easy
Derive the formula for Database with mathematical proofs.,Computer Science,Database,Evaluate,46.0,Medium
Compare Probability for a specific case.,Mathematics,Probability,Apply,52.4,Medium
Illustrate Relativity diagrammatically.,Physics,Relativity,Apply,73.6,Medium
Outline Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,56.1,Medium
Differentiate between Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,36.5,Hard
Compare Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,65.4,Medium
Derive the formula for Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,30.9,Hard
Differentiate between AI for a specific case.,Computer Science,AI,Apply,60.8,Medium
Name Relativity,Physics,Relativity,Remember,93.5,Easy
Compare Database in practice.,Computer Science,Database,Apply,66.5,Medium
Differentiate between AI in practice.,Computer Science,AI,Apply,64.9,Medium
Identify Probability,Mathematics,Probability,Remember,97.0,Easy
Compare Optics for a specific case.,Physics,Optics,Apply,62.0,Medium
List AI in simple terms?,Computer Science,AI,Remember,97.3,Easy
Explain how Mechanics in practice.,Physics,Mechanics,Apply,62.7,Medium
Synthesize Optics with mathematical proofs.,Physics,Optics,Evaluate,31.4,Hard
Identify Data Structures,Computer Science,Data Structures,Remember,83.5,Easy
Derive the formula for Database in distributed latency environments.,Computer Science,Database,Evaluate,35.9,Hard
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,67.4,Medium
Describe Data Structures for a specific case.,Computer Science,Data Structures,Apply,46.8,Medium
List Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,75.5,Easy
Derive the formula for Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,46.1,Medium
List Mechanics as defined in the textbook?,Physics,Mechanics,Remember,86.6,Easy
Derive the formula for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,37.8,Hard
Outline Statistics in practice.,Mathematics,Statistics,Apply,49.3,Medium
Name Probability briefly?,Mathematics,Probability,Remember,91.3,Easy
Compare Database diagrammatically.,Computer Science,Database,Apply,49.6,Medium
What is Database,Computer Science,Database,Remember,89.1,Easy
Outline Mechanics using an example.,Physics,Mechanics,Apply,55.1,Medium
Critically analyze Calculus considering edge cases.,Mathematics,Calculus,Evaluate,39.2,Hard
Name AI in simple terms?,Computer Science,AI,Remember,91.0,Easy
Illustrate Database for a specific case.,Computer Science,Database,Apply,52.7,Medium
Compare Relativity in practice.,Physics,Relativity,Apply,59.1,Medium
Evaluate the limitations of Probability in distributed latency environments.,Mathematics,Probability,Evaluate,41.9,Hard
Name Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,97.0,Easy
Calculate Optics in a standard system.,Physics,Optics,Apply,57.5,Medium
Describe Data Structures in practice.,Computer Science,Data Structures,Apply,71.0,Medium
Derive the formula for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,40.6,Hard
Propose a solution for Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,40.0,Hard
Propose a solution for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,27.7,Hard
Illustrate Optics diagrammatically.,Physics,Optics,Apply,55.9,Medium
Propose a solution for Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,36.0,Hard
Define Algorithms according to basic principles?,Computer Science,Algorithms,Remember,81.0,Easy
State Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,89.2,Easy
Explain how Probability diagrammatically.,Mathematics,Probability,Apply,41.9,Hard
Propose a solution for Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,40.7,Hard
Derive the formula for AI in distributed latency environments.,Computer Science,AI,Evaluate,17.1,Hard
Calculate Calculus in a standard system.,Mathematics,Calculus,Apply,63.5,Medium
Critically analyze Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,17.8,Hard
Propose a solution for Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,47.7,Medium
State Database in simple terms?,Computer Science,Database,Remember,75.8,Easy
Calculate Relativity using an example.,Physics,Relativity,Apply,91.0,Easy
Propose a solution for Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,20.9,Hard
Identify Algorithms,Computer Science,Algorithms,Remember,83.5,Easy
Propose a solution for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,53.8,Medium
Describe AI diagrammatically.,Computer Science,AI,Apply,57.7,Medium
Outline Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,58.4,Medium
Calculate Optics in a standard system.,Physics,Optics,Apply,57.4,Medium
What is Geometry briefly?,Mathematics,Geometry,Remember,90.5,Easy
Describe Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,85.5,Easy
Critically analyze Database considering edge cases.,Computer Science,Database,Evaluate,44.5,Hard
Critically analyze Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,33.0,Hard
Describe Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,69.4,Medium
Illustrate Statistics in practice.,Mathematics,Statistics,Apply,69.9,Medium
Name Linear Algebra,Mathematics,Linear Algebra,Remember,90.1,Easy
Propose a solution for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,27.0,Hard
Define Calculus according to basic principles?,Mathematics,Calculus,Remember,91.6,Easy
Compare Statistics using an example.,Mathematics,Statistics,Apply,54.2,Medium
Propose a solution for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,29.8,Hard
Propose a solution for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,30.6,Hard
Which of these is Algorithms according to basic principles?,Computer Science,Algorithms,Remember,86.3,Easy
Calculate Algorithms for a specific case.,Computer Science,Algorithms,Apply,48.2,Medium
Calculate Database diagrammatically.,Computer Science,Database,Apply,54.0,Medium
Name Relativity as defined in the textbook?,Physics,Relativity,Remember,96.0,Easy
State Optics in simple terms?,Physics,Optics,Remember,100.0,Easy
Hypothesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,25.1,Hard
Synthesize Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,29.7,Hard
Compare Relativity in practice.,Physics,Relativity,Apply,61.1,Medium
Explain how Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,42.8,Hard
Calculate Mechanics in a standard system.,Physics,Mechanics,Apply,55.4,Medium
State Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,80.7,Easy
List Mechanics in simple terms?,Physics,Mechanics,Remember,84.6,Easy
Name Data Structures,Computer Science,Data Structures,Remember,89.3,Easy
Which of these is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,89.0,Easy
Compare Networking for a specific case.,Computer Science,Networking,Apply,51.4,Medium
Propose a solution for Thermodynamics assuming failure modes.,Physics,Thermodynamics,Evaluate,29.8,Hard
Explain how Thermodynamics in practice.,Physics,Thermodynamics,Apply,51.4,Medium
Which of these is AI,Computer Science,AI,Remember,77.0,Easy
Describe Geometry diagrammatically.,Mathematics,Geometry,Apply,68.8,Medium
State Optics in simple terms?,Physics,Optics,Remember,89.0,Easy
Compare Database in practice.,Computer Science,Database,Apply,64.2,Medium
Identify Geometry as defined in the textbook?,Mathematics,Geometry,Remember,79.6,Easy
Hypothesize Probability in distributed latency environments.,Mathematics,Probability,Evaluate,33.1,Hard
Compare Probability in a standard system.,Mathematics,Probability,Apply,73.4,Medium
Differentiate between Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,63.3,Medium
Critically analyze Relativity under extreme constraints.,Physics,Relativity,Evaluate,37.3,Hard
Explain how Statistics in practice.,Mathematics,Statistics,Apply,69.5,Medium
Calculate Database in a standard system.,Computer Science,Database,Apply,53.0,Medium
Derive the formula for Relativity considering edge cases.,Physics,Relativity,Evaluate,42.7,Hard
Synthesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,48.1,Medium
Critically analyze AI in distributed latency environments.,Computer Science,AI,Evaluate,35.8,Hard
List Data Structures,Computer Science,Data Structures,Remember,97.8,Easy
Evaluate the limitations of Networking under extreme constraints.,Computer Science,Networking,Evaluate,25.1,Hard
Propose a solution for Database under extreme constraints.,Computer Science,Database,Evaluate,28.8,Hard
Hypothesize Probability with mathematical proofs.,Mathematics,Probability,Evaluate,36.0,Hard
Compare Thermodynamics using an example.,Physics,Thermodynamics,Apply,62.1,Medium
Which of these is Networking as defined in the textbook?,Computer Science,Networking,Remember,85.6,Easy
Which of these is Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,92.7,Easy
List Statistics,Mathematics,Statistics,Remember,94.4,Easy
Explain how Optics in a standard system.,Physics,Optics,Apply,66.0,Medium
Describe Optics in practice.,Physics,Optics,Apply,61.7,Medium
Derive the formula for Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,46.7,Medium
Critically analyze Probability with mathematical proofs.,Mathematics,Probability,Evaluate,37.1,Hard
Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,61.6,Medium
Name Calculus in simple terms?,Mathematics,Calculus,Remember,93.0,Easy
Derive the formula for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,41.3,Hard
Hypothesize Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,42.2,Hard
Evaluate the limitations of Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,13.7,Hard
Explain how Statistics in practice.,Mathematics,Statistics,Apply,62.1,Medium
Outline AI for a specific case.,Computer Science,AI,Apply,60.7,Medium
Hypothesize AI assuming failure modes.,Computer Science,AI,Evaluate,49.3,Medium
Compare Statistics using an example.,Mathematics,Statistics,Apply,48.8,Medium
Evaluate the limitations of Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,23.0,Hard
Describe Geometry in practice.,Mathematics,Geometry,Apply,69.9,Medium
Critically analyze Probability considering edge cases.,Mathematics,Probability,Evaluate,27.8,Hard
Hypothesize Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,60.5,Medium
List Statistics briefly?,Mathematics,Statistics,Remember,77.4,Easy
Synthesize AI in distributed latency environments.,Computer Science,AI,Evaluate,47.1,Medium
Which of these is Optics as defined in the textbook?,Physics,Optics,Remember,86.7,Easy
